ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
46733642;12.1;27.3;0;0;0;-58.3;-0.35;0;0;0;0;0.001;0;0;0;0.0001;2;2;0;0;76;0;0;46700543;0;0;0;0;0;0;0;0;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;46732000;37.34958719;-121.93069758;-5.04046631;0.00000000;0.00000000;3.79009247;3.27511168;
46736004;12.2;27.5;0;0;0;-61.9;-0.35;0;0;0;0;0.001;0;0;0;0.0001;2;2;0;0;76;0;0;46733671;0;0;0;0.0001;0.843;56.165;0;-0.41;0;0.004;0.004;1;46733677;0;0;0;0;0;0;0;0;0;46735000;37.34959278;-121.93069931;-4.53649902;0.00000000;0.00000000;3.79009247;3.24388790;
46736106;12.3;27.4;0;0;0;-63.1;-0.32;0;0;0;0;0;0;0;0;0.0001;2;2;0;0;76;0;0;46736022;0;0;0;0.0001;0.843;56.165;0;0.31;0;0.004;0.004;1;46736052;0;0;0;0;0;0;0;0;0;46735000;37.34959278;-121.93069931;-4.53649902;0.00000000;0.00000000;3.79009247;3.24388790;
46736256;12.1;27.3;0;0;0;-60.1;-0.29;0;0;0;0;0;0;0;0;0.0001;2;2;0;0;76;0;0;46736154;0;0;0;0.0001;0.91;60.609;0;1.06;0;0.004;0.004;1;46736154;0;0;0;0;0;0;0;0;0;46735000;37.34959278;-121.93069931;-4.53649902;0.00000000;0.00000000;3.79009247;3.24388790;
